culture 문화
experience 경험
education 교육
symbol 상징
effect 결과
liberty 자유
affair 사건
comfort 안락
tradition 전통
subject 학과
object 사물
source 출처
revolution 혁명
pollution 오염
system 조직
triumph 승리
respect 존경하다
communication 전달
foundation 기초
glory 영광
situation 위치
competition 경쟁
prairie 대초원
effort 노력
section 부분
rein 고삐
solution 해결
honor 명예
unity 통일
population 인구
direction 방향
dialog 대화
republic 공화국
method 방법
increase 증가
decrease 감소
amount 양
ancestor 조상
voyage 항해 
sculpture 조각
instrument 기계
figure 숫자
activity 활동
cause 원인
worth 가치
accident 사고
adventure 모험
view 경치
relative 친척
superstition 미신
habit 습관
wealth 재산
treasure 보물
universe 우주
adult 성인
feast 향연
resources 자원
ruin 파멸
monument 기념비
information 정보
appetite 식욕
stethoscope 청진기
mystery 신비
thermometer 온도계
series 연속
oath 맹세
appointment 임명
clue 실마리
debt 은혜
hydrogen 수소
control 통제
uniform 제복
design 계획
damage 손해
custom 습관
traffic 교통
sophomore 학년생
temperature 온도
limit 제한하다
statue 조각상
furniture 가구
parade 행렬
public 공공의
pilgrim 순례자
greeting 인사
language 언어
opinion 의견
athlete 운동선수
supply 공급
surface 표면
electricity 전기
order 순서
spirit 정신
purpose 목적
promise 가망
project 계획
government 정부
exercise 운동
comparison 비교
interest 이익
funeral 장례식
senior 선배
junior 후배
democracy 민주주의
general 육군 장군
admiral 해군대장
edge 날
biology 생물학
danger 위험
advice 충고
practice 연습하다
mammal 포유동물
grade 학년
score 점수
pause 중지
pronunciation 발음
stress 압박
contest 경쟁
horizon 수평선
principal 교장
might 힘
trouble 고생
scar 상처
balance 균형
proverb 속담
semester 학기
election 선거
inning 회
hollow 구멍
degree 도
cemetery 묘지
relay 교되자
spot 지점
exchange 교환하다
merchant 상인
saying 격언
refrigerator 냉장고
crack 갈라진틈
judge 재판관
slave 노예
settler 이주민
fare 요금
gesture 몸짓
planet 유성
type 유형
secretary 비서
devil 악마
scholar 학자
pardon 용서
kindergarten 유치원
detective 탐정
license 면허
palace 궁전
spade 삽
square 정사각형
fountain-pen 만년필
harvest 수확
tool 도구
sword 칼
magazine 잡지
stadium 경기장
care 걱정
beauty 아름다움
museum 박물관 
sentence 문장
memory 기억
delight 기쁨
passenger 승객
skill 숙련
journey 여행
ceremony 의식
hobby 취미
president 대통령
address 주소
continent 대륙
mankind 인간
patient 환자
site 부지
marble 대리석
stem 줄기
slip 미끄러짐
torch 횃불
composer 작곡가
invader 침입자
trick 계략
flight 비행
castle 성
envelope 봉
pal 친구
vacation 휴가
desert 사막
event 사건
theater 극장
stage 무대
error 잘못
area 면적
base 기초
basement 지하실
evil 악
atom 원자
poet 시인
petal 꽃잎
chance 기회
mind 마음
climate 기후
suburb 교외
throat 목구멍
voice 목소리
valley 골짜기
puritan 청교도
feather 깃털
amateur 아마추어
nation 국가
puzzle 수수께끼
riddle 수수께끼
rear 뒤쪽
battle 전투
laundry 세탁소
shower 소나기
navy 해군
mars 화성
gallery 화랑
guest 손님
folk 사람들
problem 문제
jewel 보석
garage 차고
fault 결점
lantern 랜턴
import 수입
angle 각도
match 시합
stripe 줄무늬
pulse 맥박
powder 가루
flood 홍수
bush 수풀
branch 가지
hero 영웅
heaven 하늘
exit 출구
beast 짐승
century 세기
coeducation 남녀공학
twin 쌍둥이의한사람
wound 상처
metal 금속
insect 곤충
track 지나간 자국
deserve 받을가치가있다
survive ~보다오래살다
create 창조하다
describe 묘사하다
select 고르다
hesitate 주저하다
declare 선언하다
pretend ~인체하다
struggle 분투노력하다
explore 탐험하다
astonish 놀라게하다
disappoint 실망시키다
attract 끌다
celebrate 축하하다
explode 폭발시키다
include 포함하다
protect 보호하다
introduce 소개하다
produce 생산하다
chase 쫓다
scratch 할퀴다
crash 충돌하다
stare 응시하다
gaze 응시하다
scare 놀라게 하다
grab 움켜잡다 
guard 지키다
discuss 토론하다
shrug 으쓱하다
sniff 냄새 맡다
scream 소리치다
rid 제거하다
surround 둘러싸다
cleave 쪼개다
carve 새기다
except 제외하다 
invent 발명하다
search 찾다 
abuse 남용하다
owe 힘입다
bless 축복하다 
graduate 졸업하다
replace ~을대신하다
collect 모으다
upset 뒤엎다
arrest 체포하다
prove 증명하다
yell 외치다
howl 짖다
halt 정지하다
leak 새다
behave 행동하다
wrap 싸다
locate 위치하다
charge 청구하다
review 복습하다
refuse 거절하다
complain 불평하다
remain 남다
warn 경고하다
bend 구부리다
suffer 겪다
whisper 속삭이다
prepare 준비하다
roar 으르렁거리다
float 뜨다
drag 질질끌다
overhear 엿듣다
slide 미끄러지다
suck 빨다
bother 괴롭히다
deal 분배하다
treat 다루다
destroy 파괴하다
accept 받아들이다
depend ~에의존하다
nod 끄덕이다
remove 옮기다
beat 때리다
clap 탁치다
feed 먹을것을주다
obtain 얻다
drown 빠뜨리다
remind 생각나게하다
occur 일어나다
ache 아프다
repeat 되풀이하다
attend 참석하다
sigh 한숨쉬다
pray 빌다
press 누르다
bear 낳다
follow 따르다
hate 미워하다
frighten 깜짝놀라게하다
shout 외치다
mention 말하다
waste 낭비하다
borrow 빌리다
complete 완성하다
excellent 뛰어난
competent 유능한
religious 종교적인
favorite 아주좋아하는
entire 전체의
primary 본래의
similar 비슷한
precious 귀중한
normal 보통의
popular 인기있는
compulsory 의무적인
curious 호기심이강한
independent 독립의
intimate 친밀한
delicious 맛있는
valuable 귀중한
grave 중대한
elementary 초보의
crazy 미친
contrary 반대의
regular 규칙적인
social 사회의
straight 똑바른
noble 고귀한
anxious 걱정되는
international 국제적인
greedy 탐욕스러운
stupid 어리석은
silly 어리석은
lonely 고독한
dirty 더러운
various 여러가지의
private 개인의
vain 무익한
sore 아픈
fierce 사나운
firm 굳은
solar 태양의
smart 산뜻한
single 독신의
diligent 부지런한
serious 진지한
fresh 새로운
empty 빈
mild 온화한
amazing 놀라운
charming 매력적인
boring 지겨운
giant 거대한
huge 거대한
tiny 몹시작은
fair 공명정대한
tough 단단한
foreign 외국의
modern 현대의
expensive 값비싼
harmful 해로운
calm 평온한
special 특별한
steady 확고한
hay 건초
revival 부활
million 백만
crop 농작물
shade 그늘
company 친구
canal 운하
wagon 짐마차
fact 사실
joy 기쁨
concert 음악회
rule 규정하다
suitcase 여행가방
weight 무게
hurray 만세
mail 우편물
log 통나무
hut 오두막집
tax 세금
dye 물감
earnings 벌이
flame 불꽃
shape 모양
chest 가슴
chain 사슬
cost 비용
coast 해안
circle 원
heart 심장
nature 자연
fever 열
tongue 혀
trust 신용
whisker 구레나룻
prison 형무소
blood 피
loaf 빵덩어리
list 명부
fence 울타리
enemy 적
thief 도둑
data 자료
soldier 군인
musician 음악가
capital 수도
course 진로
diary 일기
squirrel 다람쥐
dawn 새벽
shadow 그림자
ditch 도랑
crew 승무원
stomach 위
neighbor 이웃사람
servant 하인
hunger 굶주림
tomb 묘
taste 맛
sign 신호
stair 계단
trip 여행
brain 뇌
trumpet 나팔
speech 말
thumb 엄지손가락
horn 뿔
chief 우두머리
trousers 바지
prince 왕자
force 힘
sight 광경
space 공간
wool 양모
expressway 고속도로
science 과학
examination 시험
jar 항아리
salt 소금
death 죽음
saw 톱
swing 그네
wish 소원
grain 곡식
eraser 지우개
alphabet 알파벳문자
shoulder 어깨
nephew 조카
niece 조카딸
library 도서관
giraffe 기린
hawk 매
pigeon 비둘기
bowl 사발
scene 장면
life 생명
earth 지구
pill 알약
math 수학
ocean 대양
price 값
row 줄
schedule 예정표
machine 기계
